id,author,published_datetime,title,url,complexity,reading_time,views,tags,votes,bookmarks,comments
796847,Parker0,2024-02-29 07:00:54+00:00,"Chromium. Отрисовка страницы с помощью Blink, CC и планировщика",https://habr.com/ru/articles/796847/,,10,358,"['Веб-разработка', 'Google Chrome', 'HTML', 'Браузеры']",2,11,2
796921,AnastasiaIvanova8,2024-02-28 12:41:03+00:00,Создание WordPress-плагина для отправки SMS-сообщений,https://habr.com/ru/companies/ru_mts/articles/796921/,,9,723,"['Блог компании МТС', 'WordPress', 'Веб-разработка', 'Программирование']",6,16,2
793124,Egorzaa,2024-02-28 10:34:27+00:00,Как разработать браузерное расширение в Chrome на React: разбираем на примере Cloudhood,https://habr.com/ru/companies/cloud_ru/articles/793124/,Простой,5,1200,"['Блог компании Cloud.ru', 'Веб-разработка', 'Open source', 'IT-инфраструктура']",3,27,1
796633,winfox_tech,2024-02-28 07:31:55+00:00,"Skunk Works курильщика, или собственный лоу-код на страже продаж",https://habr.com/ru/articles/796633/,Средний,6,639,"['Веб-разработка', 'Программирование', 'Анализ и проектирование систем']",2,8,0
796793,WolodyaCh,2024-02-28 07:21:10+00:00,Telegram Mini Apps с мгновенной оплатой,https://habr.com/ru/articles/796793/,Средний,6,2000,"['Веб-разработка', 'Python', 'API', 'Облачные сервисы']",8,53,0
796669,DimDimDimDimDim,2024-02-27 15:55:09+00:00,Как быстро написать API на FastAPI с валидацией и базой данных,https://habr.com/ru/companies/selectel/articles/796669/,,11,9000,"['Блог компании Selectel', 'Веб-разработка', 'Python', 'API']",34,137,27
796579,denis_voronin_habr,2024-02-27 10:20:40+00:00,"Динамические Breadcrumbs на React, React Router и Apollo GraphQL",https://habr.com/ru/articles/796579/,Простой,4,1000,"['Веб-разработка', 'JavaScript', 'ReactJS', 'TypeScript']",2,17,0
794410,sLio,2024-02-26 21:11:11+00:00,Сравнение utility types библиотек или тайпскрипт на стероидах,https://habr.com/ru/articles/794410/,,12,2300,"['Веб-разработка', 'TypeScript']",7,28,8
796385,kmoseenk,2024-02-26 15:14:39+00:00,Как украсить и оживить сайт на Astro с помощью KwesForms и Rive,https://habr.com/ru/companies/otus/articles/796385/,,6,549,"['Блог компании OTUS', 'Веб-разработка']",12,12,0
796335,DenSyo,2024-02-26 12:46:45+00:00,Концепт бюджетной видеостены неограниченного размера для web-приложения,https://habr.com/ru/articles/796335/,Средний,7,1700,"['Веб-разработка', 'JavaScript', 'Программирование']",3,19,0
794468,varanio,2024-02-26 11:46:08+00:00,PostgreSQL: обеспечение уникальности записи с проверкой даты валидности,https://habr.com/ru/companies/karuna/articles/794468/,,2,2400,"['Блог компании Karuna', 'Веб-разработка', 'PostgreSQL', 'Программирование', 'SQL']",10,39,18
793680,alizar,2024-02-26 09:00:23+00:00,Костыли из 90-х и принцип HTML First,https://habr.com/ru/companies/ruvds/articles/793680/,Средний,7,11000,"['Блог компании RUVDS.com', 'Веб-разработка', 'HTML', 'Браузеры', 'История IT']",64,69,33
796169,It_Architect,2024-02-26 04:55:15+00:00,Коммуникация по RESTful API: синхронизируем данные с маркетплейсами,https://habr.com/ru/articles/796169/,Средний,33,620,"['Веб-разработка', 'Ruby on Rails', 'API']",0,5,1
796143,ArchieSup,2024-02-25 20:07:29+00:00,"Запросы, хуки и спагетти",https://habr.com/ru/articles/796143/,Простой,8,2800,"['Веб-разработка', 'JavaScript', 'ReactJS']",3,32,1
796071,antonmak1,2024-02-25 12:16:52+00:00,Тесты производительности фреймворка Cample.js. Отчёт № 1,https://habr.com/ru/articles/796071/,Средний,2,1100,"['Веб-дизайн', 'Веб-разработка', 'Open source', 'JavaScript', 'HTML']",0,2,3
791336,m3ta10ph0b,2024-02-25 10:11:32+00:00,Тонкости работы short-circuit routing в ASP.NET Core 8.0,https://habr.com/ru/articles/791336/,Средний,9,3300,"['Высокая производительность', 'Веб-разработка', 'Программирование', '.NET', 'C#']",13,31,9
795923,Iluhander,2024-02-24 10:30:03+00:00,Интерактивная диаграмма Ганта для тысяч работ,https://habr.com/ru/articles/795923/,Средний,5,14000,"['Веб-разработка', 'JavaScript', 'SQL', 'Алгоритмы', 'Управление проектами']",13,89,9
795903,SuperLeha,2024-02-24 06:47:38+00:00,"ID: способы аутентификации сегодня, их преимущества, недостатки и перспективы развития",https://habr.com/ru/companies/newtel/articles/795903/,Средний,6,2600,"['Блог компании «Нью-Тел»', 'Информационная безопасность', 'Веб-разработка', 'Разработка мобильных приложений', 'CRM-системы']",4,28,4
795901,kybik44,2024-02-24 06:30:38+00:00,Redux vs Mobx кого же выбрать для React-приложения в 2024 году?,https://habr.com/ru/articles/795901/,Средний,21,12000,"['Веб-разработка', 'JavaScript', 'Программирование', 'ReactJS', 'TypeScript']",12,62,50
795621,zloylemon,2024-02-23 12:17:56+00:00,Figma закрыла Dev Mode: пути обхода и их краткий обзор,https://habr.com/ru/companies/selectel/articles/795621/,,5,21000,"['Блог компании Selectel', 'Веб-дизайн', 'Веб-разработка', 'Графический дизайн', 'IT-компании']",42,99,34
795787,MarcOpol0,2024-02-23 08:30:55+00:00,Разработка Tizen-приложения для Samsung Smart Signage Platform(SSSP): гайд для js-разработчиков,https://habr.com/ru/articles/795787/,Средний,8,969,"['Веб-разработка', 'JavaScript', 'XML', 'Разработка под Tizen', 'Мониторы и ТВ']",6,11,2
795559,kmoseenk,2024-02-23 07:39:44+00:00,"Как использовать Fetch API в Node.js, Deno и Bun",https://habr.com/ru/companies/otus/articles/795559/,,7,2200,"['Блог компании OTUS', 'Веб-разработка', 'Node.JS']",11,32,1
788288,i-savichev,2024-02-22 13:29:29+00:00,Обрезать нельзя сжать. Как ускорить метрики проекта без больших вложений,https://habr.com/ru/companies/samolet/articles/788288/,Средний,9,2100,"['Блог компании Компания «Самолет»', 'Веб-разработка', 'Клиентская оптимизация']",17,33,13
795489,gmtd,2024-02-22 06:51:29+00:00,Создание Web components на Vue 3,https://habr.com/ru/articles/795489/,Простой,3,3500,"['Веб-разработка', 'JavaScript', 'VueJS']",1,38,0
795281,KRUTKOOLEG,2024-02-21 15:30:21+00:00,Виртуальные туры в недвижимости: 6 шагов внедрения,https://habr.com/ru/articles/795281/,Простой,5,739,"['Веб-дизайн', 'Веб-разработка', 'Повышение конверсии', 'Разработка под AR и VR', 'AR и VR']",1,4,7
795361,Mnemonic0,2024-02-21 13:24:25+00:00,"Запрет на авторизацию через импортные сервисы, меня это не касается?",https://habr.com/ru/articles/795361/,Простой,1,3500,"['Веб-разработка', 'Анализ и проектирование систем', 'Исследования и прогнозы в IT']",4,11,10
795165,snowmage,2024-02-21 08:02:10+00:00,Laravel 11. Что нового?,https://habr.com/ru/articles/795165/,,6,6900,"['Веб-разработка', 'PHP', 'Laravel']",16,18,2
795169,itman32,2024-02-21 07:30:59+00:00,"Карьерный путь: Android мобилка, фронт или бэкенд?",https://habr.com/ru/articles/795169/,Простой,6,3900,"['Веб-разработка', 'Разработка под Android', 'Карьера в IT-индустрии']",3,31,31
792058,melnik909,2024-02-20 13:01:00+00:00,"HTML и CSS ошибки, влияющие на доступность. Мой опыт и моего незрячего знакомого Ильи. Часть 6",https://habr.com/ru/companies/ruvds/articles/792058/,Средний,7,3700,"['Блог компании RUVDS.com', 'Веб-разработка', 'CSS', 'HTML', 'Accessibility']",34,46,14
794971,KRUTKOOLEG,2024-02-20 10:58:45+00:00,Персонализация e-commerce через AI: способ как увеличить конверсию в e-commerce,https://habr.com/ru/articles/794971/,Простой,5,848,"['Веб-разработка', 'Разработка под e-commerce', 'Интернет-маркетинг', 'Повышение конверсии', 'Искусственный интеллект']",1,6,2
794903,Tatiana_Polonskaia,2024-02-20 07:41:15+00:00,Первое приложение на SolidJS,https://habr.com/ru/articles/794903/,Простой,11,4300,"['Веб-разработка', 'JavaScript', 'TypeScript']",7,24,14
794805,angelrsa,2024-02-20 07:02:56+00:00,Как ошибки проектирования при разработке на Symfony могут привести к перерасходу ресурсов и замедлению работы системы,https://habr.com/ru/articles/794805/,Средний,8,2900,"['Веб-разработка', 'PHP', 'Анализ и проектирование систем', 'Symfony', 'Проектирование и рефакторинг']",20,26,5
793494,bae_prosto,2024-02-18 07:41:20+00:00,Spring Boot. Реактивный асинхронный неблокирующий REST vs традиционный синхронный блокирующий,https://habr.com/ru/articles/793494/,Средний,8,8500,"['Веб-разработка', 'Java']",2,47,11
794082,jackycoins,2024-02-16 15:00:46+00:00,Интеграция React и AngularJS через Webpack Module Federation,https://habr.com/ru/articles/794082/,Средний,19,2500,"['Веб-разработка', 'JavaScript', 'Программирование', 'Angular', 'ReactJS']",4,28,2
794146,El_Gato_Grande,2024-02-16 11:40:31+00:00,Азы поисковой оптимизации для веб-разработчика: прокачиваем SEO с помощью кода и здравого смысла,https://habr.com/ru/companies/selectel/articles/794146/,,15,5700,"['Блог компании Selectel', 'Веб-разработка', 'HTML', 'Поисковая оптимизация']",29,79,7
794160,chikuyonok,2024-02-16 09:45:08+00:00,Анимация в браузерах и как с ней работать,https://habr.com/ru/companies/vk/articles/794160/,Средний,10,3800,"['Блог компании VK', 'Блог компании ОК', 'Веб-разработка', 'Браузеры']",43,85,8
794124,PatientZero,2024-02-16 07:28:26+00:00,Тёмные паттерны UX себя не оправдывают,https://habr.com/ru/articles/794124/,Простой,3,4000,"['Веб-разработка', 'Интерфейсы', 'Usability']",13,15,8
794046,VeXell,2024-02-16 06:00:58+00:00,Собираем метрики Node.js приложений в PM2 с экспортом в Prometheus,https://habr.com/ru/articles/794046/,,4,1600,"['Веб-разработка', 'JavaScript', 'Node.JS', 'TypeScript']",5,27,1
794092,vad612,2024-02-15 20:46:32+00:00,Храним файлы Strapi в облаке Selectel,https://habr.com/ru/articles/794092/,Средний,3,1100,"['Хостинг', 'Веб-разработка', 'JavaScript', 'TypeScript']",26,10,3
793236,gazizovasg,2024-02-15 12:34:30+00:00,Кто такие специалисты по безопасной разработке и где на них учиться,https://habr.com/ru/companies/pt/articles/793236/,Простой,6,4000,"['Блог компании Positive Technologies', 'Информационная безопасность', 'Веб-разработка', 'Учебный процесс в IT', 'DevOps']",5,30,2
793000,shcherbanich,2024-02-14 20:30:21+00:00,Работаем с HTTP API: разбор частых проблем и методы их решения,https://habr.com/ru/articles/793000/,Средний,16,5600,"['Веб-разработка', 'API']",16,106,4
793624,kmoseenk,2024-02-14 09:12:54+00:00,"Как создать YouTube GIF Maker с использованием Next.js, Node и RabbitMQ",https://habr.com/ru/companies/otus/articles/793624/,,28,2700,"['Блог компании OTUS', 'Веб-разработка', 'JavaScript', 'Node.JS', 'ReactJS']",14,59,0
789662,aio350,2024-02-14 08:01:20+00:00,Начало работы с Axum — самым популярным веб-фреймворком Rust,https://habr.com/ru/companies/timeweb/articles/789662/,Средний,11,8000,"['Блог компании Timeweb Cloud', 'Веб-разработка', 'Rust']",26,63,6
793266,Vordgi,2024-02-13 09:54:50+00:00,Больше библиотек богу библиотек или как я переосмыслил i18n [next.js v14],https://habr.com/ru/articles/793266/,,6,2200,"['Веб-разработка', 'Open source', 'JavaScript', 'ReactJS']",2,11,4
